game_id,Platform,g_company,game_n,genre,rating,release_date,price
575880,windows,Jonni Hirst,1979 Invasion Earth,Action,8.518518519,2017-01-19,1.59
388320,windows,iNK Stories,1979 Revolution: Black Friday,Adventure,7.642079807,2016-04-04,4.79
373480,windows,Modesty,1993 Space Machine,Action,6.178343949,2016-03-28,9.29
355270,windows,Evan Tognotti,199X,Adventure,8.264840183,2015-03-10,1.59
618720,windows,△○□× (Miwashiba),1bitHeart,Adventure,9.512987013,2017-08-28,1.99
270190,windows,Chicken in The Corn,1HEART,Adventure,6.19047619,2014-10-13,6.99
332710,windows,Ratz \'N\' Godz,1Quest,Indie,5.503355705,2014-12-03,2.89
1045930,windows,BrainStorming Team,1vs1: Battle Royale for the throne,Adventure,10,2019-03-27,2.09
576810,windows,Vogelfänger,2 Ninjas 1 Cup,Action,8.151260504,2017-02-03,0.79
657110,windows,rokaplay,2 Planets Fire and Ice,Casual,5.714285714,2017-08-07,6.19
821720,windows,Mzonestudio,20.000 Leagues Under The Sea - Captain Nemo,Adventure,6.666666667,2018-03-15,1.69
335190,windows,Orange_Juice,200% Mixed Juice!,Adventure,8.285714286,2015-10-23,4.99
1032210,windows,Droid Riot,2014.Aftermath,Action,5,2019-03-01,4.99
575600,windows,Tungsten Games,2017 VR,Gore,6.949152542,2017-05-08,14.99
582840,windows,Jake Tucker,20something,Indie,4.545454545,2017-01-26,1.99
322110,windows,Batterystaple Games,20XX,Action,9.266809728,2017-08-16,10.99
607660,windows,Hardtalk Studio,21 Days,Adventure,7.5,2017-06-16,1.59
544820,windows,Grigory Everstov,21 Steps to Soul,Adventure,5.333333333,2016-10-24,5.59
904990,windows,КиКо,21+,Casual,5.357142857,2018-08-17,0.79
729570,windows,REMIMORY,222 Hearts,Action,7.659574468,2017-10-20,1.69
800820,windows,Chloro,2236 A.D.,Sexual Content,9.333333333,2018-05-11,11.39
485580,windows,Freshtrax,24 HOURS,Action,4.366391185,2016-09-13,0.79
444420,windows,J. Fletcher,24 Hours \'til Rescue,Action,3,2016-02-19,2.79
904860,windows,indie_games_studio,25 Cadre of Death,Violent,6.551724138,2018-10-22,4.79
855010,windows,Political Games LLC,270 | Two Seventy US Election,Strategy,7.222222222,2018-05-31,0.0
444290,windows,Dagestan Technology,28 Waves Later,Action,2.647058824,2017-03-15,3.19
701720,windows,Laush Dmitriy Sergeevich,2D Neon Cube,Action,6.818181818,2017-09-08,2.89
435100,windows,Gloomywood,2Dark,Adventure,7.673267327,2017-03-10,18.99
822550,windows,2DGameMania,2DGameManias Taken,Action,5.714285714,2018-05-04,1.69
936510,windows,Jesper Skjærbæk,2nd Circle - Powerful Magic,Action,5,2018-10-18,3.99
603450,windows,2BAD GAMES,2URVIVE,Violent,10,2017-08-22,3.99
665650,windows,Intertum,2V Hoverbike,Action,7.692307692,2017-07-06,1.99
462110,windows,89AM Studio,3 Coins At School,Casual,3,2016-04-20,3.99
573650,windows,Realore,3 days: Zoo Mystery,Casual,4.666666667,2017-12-01,3.99
1023410,windows,Romuald Serrado,3 GEEKS,Adventure,8.333333333,2019-02-22,9.29
278530,windows,Aldorlea Games,3 Stars of Destiny,Adventure,5.759162304,2014-03-28,10.99
504090,windows,Banyango,3..2..1..Grenades!,Action,9.615384615,2017-06-21,5.59
459910,windows,Abstract Tree Studio,30 IMPOSSIBLE LEVELS,Action,4.508928571,2016-04-25,2.79
817770,windows,Egor Magurin,30 Seconds To Jail,Casual,7.333333333,2018-05-04,2.09
675170,windows,Atomic Jelly,303 Squadron: Battle of Britain,Action,6.666666667,2018-08-31,14.99
464360,windows,Bird in Sky,3030 Deathwar Redux - A Space Odyssey,Action,9.575596817,2017-09-13,10.99
259620,windows,Phr00t\'s Software,3079 -- Block Action RPG,Action,5,2013-11-14,3.99
263360,windows,Phr00t\'s Software,3089 -- Futuristic Action RPG,Action,7.176015474,2014-01-10,4.99
626500,windows,Toxodon Games,30th Century Post Office,Indie,0,2017-04-27,6.99
723020,windows,FRAPPA STUDIO,3571 The Game,Action,0,2018-01-01,10.29
466500,windows,Носков Сергей,35MM,Indie,7.07635633,2016-05-27,5.99
679930,windows,Petite Games,36 Fragments of Midnight,Action,3.636363636,2017-08-07,1.99
883100,windows,Tasty Delicious Games,360 No Scope Arena,Action,8.925831202,2018-09-06,0.99
576390,windows,Mugle Studio,365 Days,Action,3.703703704,2019-02-25,6.99
504920,windows,It\'s Anecdotal,39 Days to Mars,Adventure,8.811881188,2018-04-25,11.39
943960,windows,John Segerstedt,3Buttons,Free to Play,5.769230769,2018-10-25,0.0
534910,windows,bumblebee,3D Arcade Fishing,Casual,7,2016-12-20,6.99
358700,windows,Robert Dahlenburg,3d Bridges,Simulation,4.761904762,2015-03-23,2.89
535700,windows,bumblebee,3D Chess,Casual,5.961538462,2016-12-06,6.99
985760,windows,Hyper\'sthene,3D Custom Lady Maker,Adventure,7.285714286,2019-04-19,3.99
345030,windows,Robert Dahlenburg,3d Engineers,Simulation,4.347826087,2015-10-19,4.79
870020,windows,Laush Dmitriy Sergeevich,3D Gravity Rocket,Casual,10,2018-06-12,1.69
691080,windows,Laush Dmitriy Sergeevich,3D Hardcore Cube,Action,5.714285714,2017-08-22,2.09
754510,windows,Laush Dmitriy Sergeevich,3D Hardcore Cube 2,Action,5.909090909,2017-12-18,1.69
988370,windows,Flying. Stone. Production,3D Hentai Memory Game,Casual,7.5,2019-01-04,0.79
686620,windows,PixelBrain Studio,3D Mahjong worlds,Casual,6.666666667,2018-04-16,5.79
362830,windows,Z-Software GmbH,3D MiniGolf,Casual,3.888888889,2015-05-29,6.99
367990,windows,khos85,3D Paraglider,Action,2.173913043,2015-08-03,1.59
279740,windows,Reality Pump,3D ParticleGen Visual FX,Photo Editing,5.666666667,2015-04-03,6.99
492160,windows,Z-Software GmbH,3D Pool,Casual,3.80952381,2016-06-17,6.99
745670,windows,Mikhail Melnikov,3D Tower,Casual,3.235294118,2017-11-15,0.79
10140,windows,Wanako Games,3D Ultra™ Minigolf Adventures,Sports,6.41025641,2009-07-23,6.99
100980,windows,Pilgway,3DCoat 4.8,Animation & Modeling,9.375,2012-10-02,95.99
776920,windows,Pilgway,3DCoat Modding Tool,Animation & Modeling,10,2018-02-27,23.79
438450,windows,3Dflow SRL,3DF Zephyr Lite Steam Edition,Animation & Modeling,9.375,2016-02-02,154.99
205270,windows,UL,3DMark 11,Utilities,8.055555556,2012-10-02,14.99
431840,windows,Doomster Entertainment,3DRPG,Adventure,5.793103448,2016-01-12,3.99
1006700,windows,Team Bravo Limited,3Gun Nation VR,Indie,6.315789474,2019-02-27,2.89
1016100,windows,Jesper Skjærbæk,3rd Invasion - Zombies vs. Steel,Indie,5,2019-02-28,7.19
206610,windows,Reality Pump,3SwitcheD,Casual,3.738019169,2012-03-29,6.99
1056660,windows,znq.,3x3 mini-Shogi,Casual,5,2019-04-20,0.79
772160,windows,Lost Marble,4 for the Money Demo,Action,9.333333333,2018-01-17,0.0
737600,windows,Black Phoenix Studio,40 Days [四十天],Indie,5,2017-11-28,3.99
778080,windows,Eurocom,40 Winks,Action,3,2018-10-22,10.29
361630,windows,Retro Yeti Games,404Sight,Action,8.375886525,2015-04-16,0.0
329770,windows,Phr00t\'s Software,4089: Ghost Within,Action,6.195652174,2015-01-09,4.79
787980,windows,Julian Schlüntz,4D Minesweeper,Casual,9.130434783,2018-02-14,0.0
1031580,windows,Tobias Nilsson,4DSnake,Casual,10,2019-04-04,5.19
281840,windows,Bojan Brbora,4PM,Indie,3.231441048,2014-07-09,1.99
534320,windows,Heisenberg Entertainment,4Team,Action,4.285714286,2016-12-13,0.79
922450,windows,Mercator,4X-Galaxy 无主之地：银河,Adventure,5.350318471,2018-12-20,0.0
313330,windows,Dream Up,4x4 Dream Race,Racing,3.333333333,2014-07-15,3.99
537170,windows,magnussoft,4x4 Offroad Racing - Nitro,Racing,0,2017-03-10,7.19
587770,windows,Mirador Studio,4x4 Road Race,Indie,3.888888889,2017-02-01,1.59
416700,windows,Indomitus Games,5 Minutes Rage,Action,7.894736842,2018-03-02,4.99
799080,windows,rokaplay,5 Star Hawaii Resort - Your Resort,Casual,5,2018-03-09,6.19
636050,windows,rokaplay,5 Star Rio Resort,Casual,6.875,2017-06-30,6.19
564340,windows,Little World Studio,5-in-1 Pack - Monument Builders: Destination USA,Casual,0,2016-12-20,6.99
1019060,windows,Brouillard,5.84 Wing,Action,10,2019-03-08,0.79
502740,windows,Aleksandr Golovkin,50 years,Indie,8.783269962,2017-05-26,3.99
516460,windows,Jinsimer Games,50 Years,Indie,5,2016-08-26,4.79
357200,windows,Poorwill Games,500 Years Act 1,Adventure,2.75862069,2015-04-15,5.59
414510,windows,Phr00t\'s Software,5089: The Action RPG,Action,8.556701031,2016-02-03,5.59
381000,windows,TopArcadeApps,6 Nights,Casual,0,2016-09-08,1.59
646270,windows,Robot Gentleman,60 Parsecs!,Adventure,8.244274809,2018-09-18,10.99
696540,windows,Amplecti Chao,60 Second Strike,Action,4.444444444,2017-10-04,6.99
368360,windows,Robot Gentleman,60 Seconds!,Adventure,7.874643875,2015-05-25,6.99
299660,windows,Turtle Cream,6180 the moon,Action,9.138321995,2014-09-19,2.79
2900,windows,Sonalysts,688(I) Hunter/Killer,Strategy,7.536231884,2006-10-26,22.99
512410,windows,Wadup Games,69 Ways to Kill a Zombie,Action,3.157894737,2017-06-08,14.99
792100,windows,Tomorrow Corporation,7 Billion Humans,Indie,9.375,2018-08-23,11.39
819870,windows,0Cube,7 Days in Dream 光尘,Adventure,9.677419355,2018-05-14,2.09
251570,windows,The Fun Pimps,7 Days to Die,Nudity,7.822166111,2013-12-13,18.99
617820,windows,Narrator,7 days with Death,Adventure,9.2,2017-10-13,7.19
238930,windows,Mousechief,7 Grand Steps: What Ancients Begat,Casual,5.435114504,2013-06-07,14.99
654640,windows,Mark Hagan,7 Pillars,RPG,7.5,2017-06-20,1.59
788500,windows,Mario D\'Eliso Elis-D,7 Soccer: a sci-fi soccer tale,Action,3.333333333,2018-02-14,5.19
15900,windows,MumboJumbo,7 Wonders II,Casual,7.603305785,2008-06-10,6.99
275810,windows,MumboJumbo,7 Wonders of the Ancient World,Casual,6.593406593,2014-02-18,4.99
223000,windows,MumboJumbo,7 Wonders: Ancient Alien Makeover,Strategy,8.68852459,2012-10-24,6.99
275830,windows,MumboJumbo,7 Wonders: Magical Mystery Tour,Casual,9.206349206,2014-02-18,4.99
16030,windows,MumboJumbo,7 Wonders: Treasures of Seven,Casual,7.307692308,2008-11-14,6.99
856980,windows,ALEKSANDER CHEPAIKIN,7-in-1 Brain Sharpness Bundle,Indie,6.666666667,2018-05-17,10.29
961210,windows,VladProduction,7-minute HOP,Adventure,2.5,2018-11-09,0.79
878470,windows,Tero Lunkka,70 Seconds Survival,Casual,5.625,2018-08-08,1.69
839450,windows,IDEA FACTORY,7\'scarlet,Adventure,7.763157895,2019-03-12,23.79
547440,windows,上海游七网络科技有限公司,7D Game （VR for VIVE）,Free to Play,8.333333333,2016-10-26,0.0
806580,windows,G. A. Williams,7th Deep,RPG,9.166666667,2018-03-08,2.09
327910,windows,Epic MegaGames,7th Legion,Action,5.737704918,2014-10-23,4.99
996450,windows,Choice of Games,7th Sea: A Pirate\'s Pact,Adventure,8.75,2018-12-14,4.79
749250,windows,Носков Сергей,7th Sector,Adventure,8.828828829,2019-03-05,10.29
818530,windows,One Buck,8 Ball,Adventure,5.882352941,2018-03-25,0.79
664850,windows,General Arcade,8-bit Adventure Anthology: Volume I,Adventure,10,2017-10-31,5.79
370300,windows,Critical Games,8-Bit Adventures: The Forgotten Journey Remastered Edition,Adventure,8.533333333,2015-05-22,6.99
552660,windows,LunarCitySeven,8-Bit Arena VR,Indie,5,2016-11-26,0.79
427250,windows,Petroglyph,8-Bit Armies,Indie,8.035190616,2016-04-22,10.99
287860,windows,2dengine,8-Bit Commando,Action,5.46184739,2014-06-02,2.89
497850,windows,Petroglyph,8-Bit Hordes,Indie,8.251231527,2016-08-12,10.99
531680,windows,Petroglyph,8-Bit Invaders!,Indie,8.091603053,2016-12-16,10.99
772470,windows,ALEKSANDER CHEPAIKIN,8-in-1 IQ Scale Bundle,Indie,9.259259259,2018-01-05,11.39
381780,windows,inkle Ltd,80 Days,Adventure,9.1,2015-09-28,10.29
274700,windows,Michael Brough,868-HACK,Indie,9.420289855,2015-01-26,4.65
487040,windows,Bitmap Bureau,88 Heroes,Action,8.4,2017-03-24,12.99
382260,windows,Linus Fredriksson,8Bit Fiesta,Action,9.22829582,2016-09-30,0.0
717370,windows,Dexion Games,8bit Invasion,Casual,2.142857143,2017-10-02,0.79
296910,windows,AwesomeBlade,8BitBoy™,Action,7.369577155,2014-05-05,9.29
250420,windows,Archive Entertainment,8BitMMO,Action,5.886524823,2015-01-26,0.0
462530,windows,8i,8i - Make VR Human,Adventure,6.666666667,2016-04-25,0.0
526540,windows,ENTERi,8infinity,Action,6.600790514,2016-09-23,0.79
839920,windows,CasGames,9 Balls,Casual,2.580645161,2018-04-20,0.79
369420,windows,Tap It Games,9 Clues 2: The Ward,Adventure,9.242424242,2015-07-23,6.99
284870,windows,Tap It Games,9 Clues: The Secret of Serpent Creek,Adventure,9.032586558,2014-07-10,6.99
976390,windows,PALETTE,9-nine-:Episode 1,Casual,9.205298013,2019-01-31,15.49
263100,windows,Space Budgie,9.03m,Indie,8.314374354,2013-11-20,0.0
468070,windows,Isokron,90 Minute Fever - Football (Soccer) Manager MMO,Massively Multiplayer,7.090909091,2016-07-12,0.79
503560,windows,Jutsu Games,911 Operator,Casual,8.350686228,2017-02-24,10.99
561480,windows,Ethereal Darkness Interactive,96 Mill,Adventure,8.076923077,2017-01-26,4.79
264280,windows,Zaxis Games,99 Levels To Hell,Action,6.245487365,2014-02-19,3.99
258090,windows,TORaIKI,99 Spirits,Adventure,5.927977839,2013-11-12,6.99
360600,windows,SpookyFish Games,99 Waves to Die,Action,6.5,2015-04-09,1.99
557040,windows,QUByte Interactive,99Vidas,Action,8.753894081,2016-12-22,9.99
390100,windows,JoongWon Games,9Dragons,Free to Play,6.340206186,2017-02-14,0.0
486140,windows,Klexian,9Grids VR,Action,5,2016-09-12,1.59
12480,windows,Noviy Disk,9th Company: Roots Of Terror,Strategy,5.620915033,2009-12-03,6.99
679090,windows,Valorware,9th Dawn Classic - Clunky controls edition,Action,8.333333333,2017-09-07,1.59
279070,windows,Valorware,9th Dawn II,Action,8.389830508,2016-10-17,1.49
985930,windows,Water Temple Studio,::CallBack,Action,10,2019-02-08,4.99
557330,windows,Nullray Gaming,>//:System.Hack,Indie,8.571428571,2017-05-11,8.29
754610,windows,Corpix Games,>Mars Taken,Action,2,2018-03-23,3.99
514900,windows,Bloober Team SA,>observer_,Adventure,8.089151098,2017-08-15,22.99
